Quadrant,rank_in_quadrant,ID,Theme,Category,Source,Valence_mean,Arousal_mean,dist_sq_from_manual_centroid,image_file,selection_seed,manual_pool_member
HVHA,1,I677,Rollercoaster 3,Scene,Wikipedia,5.10891089108911,4.39805825242718,0.019200057435628,Rollercoaster 3.jpg,20260227,false
HVHA,2,I655,Rafting 3,Person,Wikipedia,5.09803921568627,4.22772277227723,0.022202412596166093,Rafting 3.jpg,20260227,false
HVHA,3,I422,Hang gliding 1,Person,Wikipedia,5.05555555555556,4.34615384615385,0.027827219443982303,Hang gliding 1.jpg,20260227,false
HVHA,4,I164,Cliff diver 2,Person,Wikipedia,5.10891089108911,4.0873786407767,0.06368465496314431,Cliff diver 2.jpg,20260227,false
HVHA,5,I176,Cold 6,Person,Pixabay,4.96078431372549,4.28712871287129,0.06757080666667478,Cold 6.jpg,20260227,false
HVHA,6,I872,Waterfall 1,Scene,Pixabay,5.43137254901961,4.00990099009901,0.13763883155263912,Waterfall 1.jpg,20260227,true
HVHA,7,I378,Galaxy 8,Scene,Pixabay,5.51960784313725,4.57425742574257,0.1577551917058121,Galaxy 8.jpg,20260227,false
HVHA,8,I656,Rafting 4,Person,Wikipedia,5.58333333333333,4.04807692307692,0.2033985469141827,Rafting 4.jpg,20260227,false
HVHA,9,I675,Rollercoaster 1,Scene,Wikipedia,5.44554455445545,4.70873786407767,0.20675788997693445,Rollercoaster 1.jpg,20260227,false
HVHA,10,I766,Smiling face 1,Person,Pixabay,5.63888888888889,4.125,0.2118908703811808,Smiling face 1.jpg,20260227,false
HVHA,11,I878,Wedding 5,Person,Pixabay,5.73529411764706,4.1980198019802,0.27977038612944694,Wedding 5.jpg,20260227,true
HVHA,12,I30,Astronaut 1,Person,Pixabay,5.71296296296296,4.56730769230769,0.30770751152669507,Astronaut 1.jpg,20260227,true
HVHA,13,I854,Traffic 1,Scene,Pixabay,4.62376237623762,4.23300970873786,0.3612785720114493,Traffic 1.jpg,20260227,true
HVHA,14,I704,Sailing 1,Scene,Wikipedia,4.59405940594059,4.45631067961165,0.41109357043202016,Sailing 1.jpg,20260227,false
HVHA,15,I708,Scared cat 1,Animal,Pixabay,4.6078431372549,4.54455445544554,0.42689534780880245,Scared cat 1.jpg,20260227,false
HVHA,16,I270,Dog 20,Animal,Pixabay,5.9009900990099,4.19417475728155,0.47912990907493935,Dog 20.jpg,20260227,false
HVHA,17,I35,Baby 4,Person,Pixabay,5.92079207920792,4.27184466019417,0.49389023144904104,Baby 4.jpg,20260227,true
HVHA,18,I830,Thunderstorm 6,Scene,Pixabay,4.50925925925926,4.50961538461539,0.5423060512807509,Thunderstorm 6.jpg,20260227,true
HVHA,19,I662,Research 1,Scene,Pixabay,4.48514851485149,4.37864077669903,0.5431212252268506,Research 1.jpg,20260227,false
HVHA,20,I377,Galaxy 7,Scene,Pixabay,6.06481481481481,4.5,0.7493706021496204,Galaxy 7.jpg,20260227,false
HVLA,1,I100,Building 2,Scene,Pixabay,4.7962962962963,3.17307692307692,0.026614653101410497,Building 2.jpg,20260227,true
HVLA,2,I97,Bubble 1,Object,Pixabay,4.79207920792079,3.07766990291262,0.027994056496654915,Bubble 1.jpg,20260227,true
HVLA,3,I716,School 1,Person,Pixabay,5.14705882352941,3.14851485148515,0.03842515234401402,School 1.jpg,20260227,false
HVLA,4,I390,Gazing 2,Person,Pixabay,5.1078431372549,3.37623762376238,0.08698340390393655,Gazing 2.jpg,20260227,false
HVLA,5,I7,Alcohol 4,Object,Pixabay,4.76851851851852,2.86538461538462,0.10152178899497112,Alcohol 4.jpg,20260227,true
HVLA,6,I754,Sky 1,Scene,Pixabay,4.64705882352941,2.87128712871287,0.15790020468581512,Sky 1.jpg,20260227,false
HVLA,7,I723,School 8,Person,Pixabay,5.28712871287129,3.33980582524272,0.1579376175801883,School 8.jpg,20260227,false
HVLA,8,I298,Excited face 7,Person,Pixabay,4.75247524752475,3.48543689320388,0.16943639703004354,Excited face 7.jpg,20260227,false
HVLA,9,I395,Gazing 7,Person,Wikipedia,4.98039215686275,3.56435643564356,0.193282971945792,Gazing 7.jpg,20260227,false
HVLA,10,I200,Dancing 2,Person,Pixabay,5.2156862745098,3.48514851485149,0.19859887002130144,Dancing 2.jpg,20260227,false
HVLA,11,I356,Food 3,Object,Pixabay,5.30392156862745,2.84158415841584,0.2042535535682217,Food 3.jpg,20260227,false
HVLA,12,I175,Cold 5,Scene,Pixabay,5.49074074074074,3.20192307692308,0.2956578345146865,Cold 5.jpg,20260227,false
HVLA,13,I285,Drink 1,Object,Pixabay,4.55882352941176,2.71287128712871,0.32523877731390105,Drink 1.jpg,20260227,false
HVLA,14,I433,Heart 3,Object,Pixabay,4.74509803921569,2.53465346534653,0.3921950311724674,Heart 3.jpg,20260227,false
HVLA,15,I286,Drink 2,Object,Pixabay,4.36274509803922,2.87128712871287,0.4123474960419805,Drink 2.jpg,20260227,false
HVLA,16,I104,Camping 1,Person,Pixabay,5.6039603960396,3.25242718446602,0.4406418448519982,Camping 1.jpg,20260227,true
HVLA,17,I707,Satellite 1,Object,Pixabay,5.06862745098039,3.83168316831683,0.5120528091742896,Satellite 1.jpg,20260227,false
HVLA,18,I77,Bird 4,Animal,Pixabay,5.54901960784314,3.57425742574257,0.557265195921799,Bird 4.jpg,20260227,true
HVLA,19,I348,Flowers 5,Object,Pixabay,5.63366336633663,3.48543689320388,0.5936246284661209,Flowers 5.jpg,20260227,false
HVLA,20,I332,Fire hydrant 4,Object,Pixabay,4.43518518518519,2.29807692307692,0.952300098890311,Fire hydrant 4.jpg,20260227,false
LVHA,1,I317,Ferret 1,Animal,Pixabay,2.80392156862745,4.48514851485149,0.004505404277682287,Ferret 1.jpg,20260227,false
LVHA,2,I769,Snake 3,Animal,Wikipedia,2.91176470588235,4.57425742574257,0.006798471425295843,Snake 3.jpg,20260227,false
LVHA,3,I771,Snake 5,Animal,Wikipedia,2.9009900990099,4.39805825242718,0.02590783626576573,Snake 5.jpg,20260227,false
LVHA,4,I118,Car accident 3,Object,Pixabay,2.67647058823529,4.4950495049505,0.027529375104836478,Car accident 3.jpg,20260227,true
LVHA,5,I688,Sad face 1,Person,Pixabay,2.68627450980392,4.33663366336634,0.06536814716847558,Sad face 1.jpg,20260227,false
LVHA,6,I867,War 4,Person,Pixabay,2.97058823529412,4.78217821782178,0.07481307546341627,War 4.jpg,20260227,true
LVHA,7,I273,Dog 23,Animal,Flickr/Daniel Pascoal,2.67647058823529,4.82178217821782,0.10179730771068096,Dog 23.jpg,20260227,false
LVHA,8,I38,Baby 7,Person,Pixabay,2.97058823529412,4.24752475247525,0.10679809253642918,Baby 7.jpg,20260227,true
LVHA,9,I689,Sad face 2,Person,Pixabay,3.04950495049505,4.27184466019417,0.12059682225259599,Sad face 2.jpg,20260227,false
LVHA,10,I412,Gun 2,Person,Pixabay,2.74509803921569,4.1980198019802,0.1282717296633716,Gun 2.jpg,20260227,false
LVHA,11,I327,Fire 10,Scene,Pixabay,2.47058823529412,4.66336633663366,0.1466931741380903,Fire 10.jpg,20260227,false
LVHA,12,I735,Shark 10,Animal,Wikipedia,3.23762376237624,4.46601941747573,0.16849380432638375,Shark 10.jpg,20260227,false
LVHA,13,I420,Gun 10,Object,Pixabay,2.64356435643564,4.1747572815534,0.1734631590363203,Gun 10.jpg,20260227,false
LVHA,14,I791,Soldiers 10,Scene,Pixabay,2.6039603960396,4.1747572815534,0.19017643405014245,Soldiers 10.jpg,20260227,true
LVHA,15,I136,Cat 7,Animal,Wikipedia,3.32352941176471,4.40594059405941,0.25816000374898945,Cat 7.jpg,20260227,true
LVHA,16,I417,Gun 7,Object,Pixabay,2.88118811881188,4.01941747572816,0.2781432157057066,Gun 7.jpg,20260227,false
LVHA,17,I770,Snake 4,Animal,Wikipedia,2.37254901960784,4.8019801980198,0.2798063804843149,Snake 4.jpg,20260227,false
LVHA,18,I644,Police 5,Person,Pixabay,2.43137254901961,4.03960396039604,0.4179135236012673,Police 5.jpg,20260227,false
LVHA,19,I849,Tornado 2,Scene,Pixabay,3.51960784313725,4.72277227722772,0.500693492810686,Tornado 2.jpg,20260227,true
LVHA,20,I281,Dog 31,Animal,Wikipedia,2.08333333333333,4.20192307692308,0.6821927533102983,Dog 31.jpg,20260227,false
LVLA,1,I15,Angry face 1,Person,Pixabay,3.38235294117647,3.25742574257426,0.03101571566945134,Angry face 1.jpg,20260227,true
LVLA,2,I216,Depressed pose 4,Person,Wikipedia,3.25490196078431,3.28712871287129,0.04149356043178111,Depressed pose 4.jpg,20260227,false
LVLA,3,I691,Sad face 4,Person,Pixabay,3.47058823529412,2.89108910891089,0.06422182086632648,Sad face 4.jpg,20260227,false
LVLA,4,I701,Sad pose 5,Person,Pixabay,3.11764705882353,3.35643564356436,0.10931766538258597,Sad pose 5.jpg,20260227,false
LVLA,5,I753,Skinhead 1,Person,Wikipedia,3.05555555555556,3.34615384615385,0.13275912440193402,Skinhead 1.jpg,20260227,false
LVLA,6,I690,Sad face 3,Person,Pixabay,3.13861386138614,3.42718446601942,0.14356793755288655,Sad face 3.jpg,20260227,false
LVLA,7,I406,Graveyard 1,Scene,Wikipedia,3.2037037037037,3.46153846153846,0.14855350723343097,Graveyard 1.jpg,20260227,false
LVLA,8,I90,Bored pose 5,Person,All-free-download.com,3.8019801980198,3.03883495145631,0.23716294864597395,Bored pose 5.jpg,20260227,true
LVLA,9,I16,Angry face 2,Person,Wikipedia,3.07843137254902,3.53465346534653,0.25206694775958033,Angry face 2.jpg,20260227,true
LVLA,10,I409,Graveyard 4,Scene,Wikipedia,3.21296296296296,3.625,0.2935719895132291,Graveyard 4.jpg,20260227,false
LVLA,11,I502,Monkey 3,Animal,All-free-download.com,3.62037037037037,3.56730769230769,0.31591545683004596,Monkey 3.jpg,20260227,false
LVLA,12,I19,Angry face 5,Person,Flickr/Bart,2.85294117647059,3.55445544554455,0.42884566648424616,Angry face 5.jpg,20260227,true
LVLA,13,I802,Storage 3,Object,Pixabay,3.70588235294118,2.55445544554455,0.4409400473493458,Storage 3.jpg,20260227,true
LVLA,14,I643,Police 4,Person,Pixabay,3.2843137254902,3.77227722772277,0.4619210911614588,Police 4.jpg,20260227,false
LVLA,15,I650,Prison 2,Object,Pixabay,2.62037037037037,3.18269230769231,0.49473263593719957,Prison 2.jpg,20260227,false
LVLA,16,I171,Cold 1,Object,Pixabay,3.99009900990099,3.47572815533981,0.5977586372139224,Cold 1.jpg,20260227,false
LVLA,17,I111,Camping 9,Person,Pixabay,3.99019607843137,3.4950495049505,0.6130340007482571,Camping 9.jpg,20260227,true
LVLA,18,I313,Fence 3,Object,Pixabay,3.85294117647059,2.4950495049505,0.644201710881051,Fence 3.jpg,20260227,false
LVLA,19,I846,Toilet 3,Object,Pixabay,3.83333333333333,2.36633663366337,0.7942257453802248,Toilet 3.jpg,20260227,true
LVLA,20,I637,Plane crash 2,Scene,Pixabay,2.81372549019608,3.87128712871287,0.8593567891777247,Plane crash 2.jpg,20260227,false
